iter	RMSE
0	162.9784135
1	154.9272005
2	147.6052747
3	140.6121944
4	133.9637794
5	128.0154318
6	122.4594156
7	117.2235043
8	112.1892414
9	107.4805348
10	103.2400516
11	99.27389982
12	95.61973204
13	92.21838537
14	89.03426047
15	86.06113183
16	83.28338553
17	80.75615954
18	78.35763258
19	76.08093398
20	74.00929269
21	72.07990257
22	70.31416041
23	68.77299173
24	67.28831801
25	65.86911691
26	64.57021485
27	63.34851431
28	62.26050752
29	61.23014866
30	60.2615255
31	59.3565741
32	58.51171722
33	57.82817981
34	57.16248119
35	56.46133405
36	55.91788805
37	55.37015356
38	54.82095665
39	54.32915684
40	53.9036764
41	53.43242326
42	53.06420157
43	52.72659674
44	52.40767021
45	52.1243127
46	51.82620268
47	51.58376371
48	51.33682559
49	51.03805582
50	50.7964723
51	50.61469799
52	50.40423489
53	50.16951184
54	49.8680659
55	49.62548063
56	49.35142426
57	49.15694206
58	48.98682407
59	48.78141856
60	48.63453108
61	48.32619053
62	48.19945135
63	48.03042125
64	47.88945016
65	47.75687622
66	47.56990285
67	47.45058092
68	47.33678286
69	47.2118848
70	47.06854665
71	46.96923507
72	46.85772948
73	46.69561914
74	46.46525126
75	46.28793828
76	46.18459214
77	45.95924206
78	45.86303058
79	45.73007689
80	45.65022183
81	45.5752494
82	45.49270817
83	45.34606867
84	45.18373831
85	45.02269023
86	44.93609051
87	44.78937694
88	44.65681853
89	44.43176082
90	44.24848773
91	44.10602545
92	44.00694151
93	43.9450468
94	43.82553678
95	43.71070966
96	43.64846483
97	43.57772335
98	43.3818058
99	43.26032417
100	43.01858029
101	42.80534538
102	42.74035064
103	42.60461453
104	42.40891412
105	42.28834278
106	42.21852894
107	42.11292263
108	41.99357154
109	41.89357445
110	41.78481437
111	41.75938059
112	41.64640491
113	41.56859885
114	41.53287314
115	41.4289371
116	41.32284893
117	41.20139169
118	41.08258721
119	41.03634008
120	40.91912399
121	40.83123962
122	40.68529673
123	40.61811006
124	40.56474924
125	40.46169536
126	40.36663841
127	40.26062328
128	40.20088621
129	40.13748846
130	40.01970124
131	39.88238984
132	39.79455957
133	39.69044974
134	39.56691674
135	39.47412055
136	39.35963132
137	39.28992569
138	39.19409293
139	39.12255245
140	39.0772607
141	38.99401023
142	38.9224933
143	38.82525596
144	38.75629454
145	38.6936182
146	38.5831918
147	38.44625103
148	38.36433886
149	38.30167832
150	38.17737292
151	38.08261986
152	37.94856601
153	37.86997524
154	37.81179931
155	37.72181091
156	37.52426322
157	37.41427593
158	37.35348831
159	37.25913307
160	37.1868343
161	37.10573746
162	37.0212648
163	36.96517354
164	36.89442001
165	36.83972293
166	36.73294435
167	36.68514747
168	36.55118399
169	36.40329893
170	36.3526542
171	36.30997036
172	36.24287505
173	36.18164362
174	36.14180801
175	36.07335231
176	36.00853561
177	35.94725286
178	35.89204493
179	35.79197795
180	35.73763464
181	35.67507939
182	35.61718912
183	35.53514482
184	35.47077544
185	35.40635866
186	35.32371831
187	35.2665125
188	35.24050524
189	35.19358863
190	35.14282702
191	35.07996431
192	34.97641541
193	34.93554957
194	34.87984499
195	34.79044655
196	34.6683627
197	34.60844391
198	34.56943539
199	34.48056108
200	34.35660479
201	34.27511405
202	34.18497005
203	34.11538134
204	34.03118211
205	33.95387622
206	33.88943632
207	33.78918493
208	33.69777625
209	33.58385823
210	33.49334659
211	33.39497427
212	33.32838639
213	33.28065955
214	33.20257481
215	33.15013916
216	33.06904368
217	33.01468457
218	32.96306702
219	32.90146641
220	32.85780016
221	32.7727667
222	32.70705047
223	32.6792437
224	32.60808262
225	32.54383494
226	32.49260589
227	32.46511482
228	32.38931186
229	32.2934345
230	32.2265894
231	32.13593084
232	32.09194398
233	32.06080127
234	31.99556566
235	31.88173063
236	31.81579638
237	31.77262575
238	31.73644015
239	31.63771017
240	31.58336246
241	31.54295139
242	31.48850119
243	31.43170826
244	31.36551236
245	31.3284432
246	31.27750996
247	31.20073082
248	31.14512051
249	31.08727223
250	31.03191966
251	30.98475388
252	30.92324026
253	30.89616653
254	30.83920744
255	30.77953966
256	30.71451577
257	30.65251344
258	30.57532732
259	30.51615006
260	30.43388988
261	30.34694902
262	30.28728684
263	30.2323568
264	30.19913719
265	30.11575078
266	30.0884445
267	30.00922244
268	29.9697098
269	29.93371621
270	29.88858938
271	29.84914128
272	29.82351391
273	29.76019627
274	29.7247022
275	29.67169325
276	29.61610131
277	29.56741382
